"""Meter Reading (MR) Doc. No.""",HAUS,ANLAGE,ME_MA_ID,EQUNR,HOUSE_NUM1,ENTSCHEIDUNG,TITLE,SM_FORENAME,SM_SURNAME,SM_STREET,SM_STREETNO,SM_POST_CODE1,SM_CITY1,SM_CITY2,SM_EMAIL
Meter Reading (MR) Doc. No.,DqSnUY+dDaESGOcraYyIWJZLzzTyajYFmPTtJUP,LtxDV+DuftP+OxWJWBkQQVTUQnmQQxZVVYTyYRP,fReFuHfoTYeBIuyFSVSxLlAXwmfXPlNplyfQVaU,i/tZXUfVTDuBYNqrvNbKRhZVcSLuZaXlVFfhJMp,6,MANDATORY_READING,Frau,Petra,Schneider,Bahnhofstraße,30,58840,Plettenberg,Plettenberg I,petra.schneider@example.com
Meter Reading (MR) Doc. No.,DqSnUY+dDaESGOcraYyIWJZLzzTyajYFmPTtJUP,LtxDV+DuftP+OxWJWBkQQVTUQnmQQxZVVYTyYRP,fReFuHfoTYeBIuyFSVSxLlAXwmfXPlNplyfQVaU,i/tZXUfVTDuBYNqrvNbKRhZVcSLuZaXlVFfhJMp,6,MANDATORY_READING,Frau,Petra,Schneider,Bahnhofstraße,30,58840,Plettenberg,Plettenberg I,petra.schneider@example.com
Meter Reading (MR) Doc. No.,DqSnUY+dDaESGOcraYyIWJZLzzTyajYFmPTtJUP,LtxDV+DuftP+OxWJWBkQQVTUQnmQQxZVVYTyYRP,fReFuHfoTYeBIuyFSVSxLlAXwmfXPlNplyfQVaU,i/tZXUfVTDuBYNqrvNbKRhZVcSLuZaXlVFfhJMp,6,MANDATORY_READING,Frau,Petra,Schneider,Bahnhofstraße,30,58840,Plettenberg,Plettenberg I,petra.schneider@example.com
Meter Reading (MR) Doc. No.,NlicGQYWIere+CYCT/CFQYcWzZIjwFooBQShiYA,zfaCTaJaFlFInqGhJbWQYhGjBUmSnaeCeSTwA+a,PkLbmiTTymRVvXZUBWZQRJOaThCVCrgBPSnRFXO,bUVLBUwRqFPCYBNNJWuT+WKzyRQRwmliUSkNXAK,5,MANDATORY_READING,Dr.,Anna,Schneider,Schulstraße,25,58540,Meinerzhagen,Meinerzhagen,anna.schneider@example.com
Meter Reading (MR) Doc. No.,NlicGQYWIere+CYCT/CFQYcWzZIjwFooBQShiYA,zfaCTaJaFlFInqGhJbWQYhGjBUmSnaeCeSTwA+a,PkLbmiTTymRVvXZUBWZQRJOaThCVCrgBPSnRFXO,bUVLBUwRqFPCYBNNJWuT+WKzyRQRwmliUSkNXAK,5,MANDATORY_READING,Dr.,Anna,Schneider,Schulstraße,25,58540,Meinerzhagen,Meinerzhagen,anna.schneider@example.com
Meter Reading (MR) Doc. No.,NlicGQYWIere+CYCT/CFQYcWzZIjwFooBQShiYA,zfaCTaJaFlFInqGhJbWQYhGjBUmSnaeCeSTwA+a,PkLbmiTTymRVvXZUBWZQRJOaThCVCrgBPSnRFXO,bUVLBUwRqFPCYBNNJWuT+WKzyRQRwmliUSkNXAK,5,MANDATORY_READING,Dr.,Anna,Schneider,Schulstraße,25,58540,Meinerzhagen,Meinerzhagen,anna.schneider@example.com
Meter Reading (MR) Doc. No.,NlicGQYWIere+CYCT/CFQYcWzZIjwFooBQShiYA,zfaCTaJaFlFInqGhJbWQYhGjBUmSnaeCeSTwA+a,PkLbmiTTymRVvXZUBWZQRJOaThCVCrgBPSnRFXO,bUVLBUwRqFPCYBNNJWuT+WKzyRQRwmliUSkNXAK,5,MANDATORY_READING,Dr.,Anna,Schneider,Schulstraße,25,58540,Meinerzhagen,Meinerzhagen,anna.schneider@example.com
Meter Reading (MR) Doc. No.,YoUTVVpnrVQZEuWCLkrO+CaYcZRiUZKyZRrwfZA,H/MZPdBEfjqtjEaIOgYm+yOmXfADiYhdMTOITJB,LDBkaZaRrJcQmeeTiFHWRURcgcZSETSVeWuXbrE,/tvAknJDLoUchbLevJYYWaYiR+QZXqUzK/hRtoh,44,MANDATORY_READING,Herr,Peter,Schulz,Dorfstraße,25,58099,Hagen,Boele,peter.schulz@example.com
Meter Reading (MR) Doc. No.,YoUTVVpnrVQZEuWCLkrO+CaYcZRiUZKyZRrwfZA,H/MZPdBEfjqtjEaIOgYm+yOmXfADiYhdMTOITJB,LDBkaZaRrJcQmeeTiFHWRURcgcZSETSVeWuXbrE,/tvAknJDLoUchbLevJYYWaYiR+QZXqUzK/hRtoh,44,MANDATORY_READING,Herr,Peter,Schulz,Dorfstraße,25,58099,Hagen,Boele,peter.schulz@example.com
Meter Reading (MR) Doc. No.,YoUTVVpnrVQZEuWCLkrO+CaYcZRiUZKyZRrwfZA,H/MZPdBEfjqtjEaIOgYm+yOmXfADiYhdMTOITJB,LDBkaZaRrJcQmeeTiFHWRURcgcZSETSVeWuXbrE,/tvAknJDLoUchbLevJYYWaYiR+QZXqUzK/hRtoh,44,MANDATORY_READING,Herr,Peter,Schulz,Dorfstraße,25,58099,Hagen,Boele,peter.schulz@example.com
Meter Reading (MR) Doc. No.,YoUTVVpnrVQZEuWCLkrO+CaYcZRiUZKyZRrwfZA,H/MZPdBEfjqtjEaIOgYm+yOmXfADiYhdMTOITJB,LDBkaZaRrJcQmeeTiFHWRURcgcZSETSVeWuXbrE,/tvAknJDLoUchbLevJYYWaYiR+QZXqUzK/hRtoh,44,MANDATORY_READING,Herr,Peter,Schulz,Dorfstraße,25,58099,Hagen,Boele,peter.schulz@example.com
Meter Reading (MR) Doc. No.,TJjFUvHhWDkVSZXbyxxRwabQOgSUfF/hVCXsTT+,tJUSGNZYJaTXUsJBYdFbGZicIsiCVtVTSCiRwtT,MPERaxpSudqREGylMZIQTndXVAiJSgGplBNLTSl,JSdKkYGJRprtZRQcjovFwrjzX/pR/ssRXdg+/RT,4,MANDATORY_READING,Frau,Klaus,Schneider,Schulstraße,1,58513,Lüdenscheid,,klaus.schneider@example.com
Meter Reading (MR) Doc. No.,TJjFUvHhWDkVSZXbyxxRwabQOgSUfF/hVCXsTT+,tJUSGNZYJaTXUsJBYdFbGZicIsiCVtVTSCiRwtT,MPERaxpSudqREGylMZIQTndXVAiJSgGplBNLTSl,JSdKkYGJRprtZRQcjovFwrjzX/pR/ssRXdg+/RT,4,MANDATORY_READING,Frau,Klaus,Schneider,Schulstraße,1,58513,Lüdenscheid,,klaus.schneider@example.com
Meter Reading (MR) Doc. No.,TJjFUvHhWDkVSZXbyxxRwabQOgSUfF/hVCXsTT+,tJUSGNZYJaTXUsJBYdFbGZicIsiCVtVTSCiRwtT,MPERaxpSudqREGylMZIQTndXVAiJSgGplBNLTSl,JSdKkYGJRprtZRQcjovFwrjzX/pR/ssRXdg+/RT,4,MANDATORY_READING,Frau,Klaus,Schneider,Schulstraße,1,58513,Lüdenscheid,,klaus.schneider@example.com
Meter Reading (MR) Doc. No.,TJjFUvHhWDkVSZXbyxxRwabQOgSUfF/hVCXsTT+,tJUSGNZYJaTXUsJBYdFbGZicIsiCVtVTSCiRwtT,MPERaxpSudqREGylMZIQTndXVAiJSgGplBNLTSl,JSdKkYGJRprtZRQcjovFwrjzX/pR/ssRXdg+/RT,4,MANDATORY_READING,Frau,Klaus,Schneider,Schulstraße,1,58513,Lüdenscheid,,klaus.schneider@example.com
Meter Reading (MR) Doc. No.,xcqUUUzIzxZvrkhGY+YZSUoeIwTjSRBcqhSaR+Q,vPstVVwlYUYmSRvxRUnBmXgsplrrFxiXOQWpFcX,NVXlhfcUZzVmYVyaQnhQQSWekElmSGqAePevKVc,'+mZuO+JEQnVfRTleWJZkVlESOlWJSWoHJRiZkVR,1,MANDATORY_READING,Prof.,Julia,Fischer,Dorfstraße,30,58553,Halver,Buschhausen,julia.fischer@example.com
Meter Reading (MR) Doc. No.,xcqUUUzIzxZvrkhGY+YZSUoeIwTjSRBcqhSaR+Q,vPstVVwlYUYmSRvxRUnBmXgsplrrFxiXOQWpFcX,NVXlhfcUZzVmYVyaQnhQQSWekElmSGqAePevKVc,'+mZuO+JEQnVfRTleWJZkVlESOlWJSWoHJRiZkVR,1,MANDATORY_READING,Prof.,Julia,Fischer,Dorfstraße,30,58553,Halver,Buschhausen,julia.fischer@example.com
Meter Reading (MR) Doc. No.,xcqUUUzIzxZvrkhGY+YZSUoeIwTjSRBcqhSaR+Q,vPstVVwlYUYmSRvxRUnBmXgsplrrFxiXOQWpFcX,NVXlhfcUZzVmYVyaQnhQQSWekElmSGqAePevKVc,'+mZuO+JEQnVfRTleWJZkVlESOlWJSWoHJRiZkVR,1,MANDATORY_READING,Prof.,Julia,Fischer,Dorfstraße,30,58553,Halver,Buschhausen,julia.fischer@example.com
Meter Reading (MR) Doc. No.,xcqUUUzIzxZvrkhGY+YZSUoeIwTjSRBcqhSaR+Q,vPstVVwlYUYmSRvxRUnBmXgsplrrFxiXOQWpFcX,NVXlhfcUZzVmYVyaQnhQQSWekElmSGqAePevKVc,'+mZuO+JEQnVfRTleWJZkVlESOlWJSWoHJRiZkVR,1,MANDATORY_READING,Prof.,Julia,Fischer,Dorfstraße,30,58553,Halver,Buschhausen,julia.fischer@example.com
Meter Reading (MR) Doc. No.,JgXRSPKRWtZnDtCWTuQvZiJGBXebXveAzkYvKSR,wQeUwOrXWfdfUkIfQrQFHaxgrVWIlr+InkWRHYr,gXeKbExSlVMcraXyVVpE/SqBS+TgmTlszQWkQVX,lQziRgtpJRKWIWisFEcRXisLXRASWXXKKYDPgRj,46,MANDATORY_READING,Herr,Peter,Schmidt,Gartenstraße,25,58093,Hagen,Fley,peter.schmidt@example.com
Meter Reading (MR) Doc. No.,JgXRSPKRWtZnDtCWTuQvZiJGBXebXveAzkYvKSR,wQeUwOrXWfdfUkIfQrQFHaxgrVWIlr+InkWRHYr,gXeKbExSlVMcraXyVVpE/SqBS+TgmTlszQWkQVX,lQziRgtpJRKWIWisFEcRXisLXRASWXXKKYDPgRj,46,MANDATORY_READING,Herr,Peter,Schmidt,Gartenstraße,25,58093,Hagen,Fley,peter.schmidt@example.com
Meter Reading (MR) Doc. No.,JgXRSPKRWtZnDtCWTuQvZiJGBXebXveAzkYvKSR,wQeUwOrXWfdfUkIfQrQFHaxgrVWIlr+InkWRHYr,gXeKbExSlVMcraXyVVpE/SqBS+TgmTlszQWkQVX,lQziRgtpJRKWIWisFEcRXisLXRASWXXKKYDPgRj,46,MANDATORY_READING,Herr,Peter,Schmidt,Gartenstraße,25,58093,Hagen,Fley,peter.schmidt@example.com
Meter Reading (MR) Doc. No.,JgXRSPKRWtZnDtCWTuQvZiJGBXebXveAzkYvKSR,wQeUwOrXWfdfUkIfQrQFHaxgrVWIlr+InkWRHYr,gXeKbExSlVMcraXyVVpE/SqBS+TgmTlszQWkQVX,lQziRgtpJRKWIWisFEcRXisLXRASWXXKKYDPgRj,46,MANDATORY_READING,Herr,Peter,Schmidt,Gartenstraße,25,58093,Hagen,Fley,peter.schmidt@example.com
Meter Reading (MR) Doc. No.,sGvURPaYsZmpv/vFENySlLyKwdfeiRdJnVXcaWC,tCYEaYeQWABYTKLcfLWJfshQYiXDOmeGAqeCSXE,kACalkIVBljGpaZyO+ZeYUXJUHANRXcJP+SSHv+,swTrIRWOhmCUDSqDwaYeXLiTVouWwgSpGXcbQnL,3,MANDATORY_READING,Herr,Thomas,Schneider,Lindenallee,5,58507,Lüdenscheid,Lüdenscheid,thomas.schneider@example.com
Meter Reading (MR) Doc. No.,sGvURPaYsZmpv/vFENySlLyKwdfeiRdJnVXcaWC,tCYEaYeQWABYTKLcfLWJfshQYiXDOmeGAqeCSXE,kACalkIVBljGpaZyO+ZeYUXJUHANRXcJP+SSHv+,swTrIRWOhmCUDSqDwaYeXLiTVouWwgSpGXcbQnL,3,MANDATORY_READING,Herr,Thomas,Schneider,Lindenallee,5,58507,Lüdenscheid,Lüdenscheid,thomas.schneider@example.com
Meter Reading (MR) Doc. No.,sGvURPaYsZmpv/vFENySlLyKwdfeiRdJnVXcaWC,tCYEaYeQWABYTKLcfLWJfshQYiXDOmeGAqeCSXE,kACalkIVBljGpaZyO+ZeYUXJUHANRXcJP+SSHv+,swTrIRWOhmCUDSqDwaYeXLiTVouWwgSpGXcbQnL,3,MANDATORY_READING,Herr,Thomas,Schneider,Lindenallee,5,58507,Lüdenscheid,Lüdenscheid,thomas.schneider@example.com
Meter Reading (MR) Doc. No.,sGvURPaYsZmpv/vFENySlLyKwdfeiRdJnVXcaWC,tCYEaYeQWABYTKLcfLWJfshQYiXDOmeGAqeCSXE,kACalkIVBljGpaZyO+ZeYUXJUHANRXcJP+SSHv+,swTrIRWOhmCUDSqDwaYeXLiTVouWwgSpGXcbQnL,3,MANDATORY_READING,Herr,Thomas,Schneider,Lindenallee,5,58507,Lüdenscheid,Lüdenscheid,thomas.schneider@example.com
Meter Reading (MR) Doc. No.,oEv+FBSkzEkpjkJUGZfyQaYvqEkhVEQZBYxUUbO,QqmIgSzRSRZQm/xOVYJwqxLBzIZMXaKTWsFZKYm,dBXLLUrkpZWWC/porzYRZSzYA+SyZLZxp++lmQj,iwJ+dsztPJiqqXCYKRHTUSkyJJVwV+gjOlqTbze,2,MANDATORY_READING,Dr.,Anna,Meyer,Marktplatz,10,58553,Halver,Buschhausen,anna.meyer@example.com
Meter Reading (MR) Doc. No.,oEv+FBSkzEkpjkJUGZfyQaYvqEkhVEQZBYxUUbO,QqmIgSzRSRZQm/xOVYJwqxLBzIZMXaKTWsFZKYm,dBXLLUrkpZWWC/porzYRZSzYA+SyZLZxp++lmQj,iwJ+dsztPJiqqXCYKRHTUSkyJJVwV+gjOlqTbze,2,MANDATORY_READING,Dr.,Anna,Meyer,Marktplatz,10,58553,Halver,Buschhausen,anna.meyer@example.com
Meter Reading (MR) Doc. No.,oEv+FBSkzEkpjkJUGZfyQaYvqEkhVEQZBYxUUbO,QqmIgSzRSRZQm/xOVYJwqxLBzIZMXaKTWsFZKYm,dBXLLUrkpZWWC/porzYRZSzYA+SyZLZxp++lmQj,iwJ+dsztPJiqqXCYKRHTUSkyJJVwV+gjOlqTbze,2,MANDATORY_READING,Dr.,Anna,Meyer,Marktplatz,10,58553,Halver,Buschhausen,anna.meyer@example.com
Meter Reading (MR) Doc. No.,oEv+FBSkzEkpjkJUGZfyQaYvqEkhVEQZBYxUUbO,QqmIgSzRSRZQm/xOVYJwqxLBzIZMXaKTWsFZKYm,dBXLLUrkpZWWC/porzYRZSzYA+SyZLZxp++lmQj,iwJ+dsztPJiqqXCYKRHTUSkyJJVwV+gjOlqTbze,2,MANDATORY_READING,Dr.,Anna,Meyer,Marktplatz,10,58553,Halver,Buschhausen,anna.meyer@example.com
Meter Reading (MR) Doc. No.,luXqSvtUsgDoMwmZwiZQUwrUohDXWLKu+qDmAUQ,YetrQmDIqOBseVNUzFXUpzRgGxyxEnNEHRrYcov,oiEEHMpUYVksvwR//nviAJvhPgYYxUJEWgZHszT,FNi+GCUYZNTEhTLZb/hIFyUzXKVBqGiGHIQlKzl,38,MANDATORY_READING,Dipl.-Ing.,Sabine,Schneider,Waldweg,1a,58540,Meinerzhagen,Meinerzhagen,sabine.schneider@example.com
Meter Reading (MR) Doc. No.,luXqSvtUsgDoMwmZwiZQUwrUohDXWLKu+qDmAUQ,YetrQmDIqOBseVNUzFXUpzRgGxyxEnNEHRrYcov,oiEEHMpUYVksvwR//nviAJvhPgYYxUJEWgZHszT,FNi+GCUYZNTEhTLZb/hIFyUzXKVBqGiGHIQlKzl,38,MANDATORY_READING,Dipl.-Ing.,Sabine,Schneider,Waldweg,1a,58540,Meinerzhagen,Meinerzhagen,sabine.schneider@example.com
Meter Reading (MR) Doc. No.,luXqSvtUsgDoMwmZwiZQUwrUohDXWLKu+qDmAUQ,YetrQmDIqOBseVNUzFXUpzRgGxyxEnNEHRrYcov,oiEEHMpUYVksvwR//nviAJvhPgYYxUJEWgZHszT,FNi+GCUYZNTEhTLZb/hIFyUzXKVBqGiGHIQlKzl,38,MANDATORY_READING,Dipl.-Ing.,Sabine,Schneider,Waldweg,1a,58540,Meinerzhagen,Meinerzhagen,sabine.schneider@example.com
Meter Reading (MR) Doc. No.,luXqSvtUsgDoMwmZwiZQUwrUohDXWLKu+qDmAUQ,YetrQmDIqOBseVNUzFXUpzRgGxyxEnNEHRrYcov,oiEEHMpUYVksvwR//nviAJvhPgYYxUJEWgZHszT,FNi+GCUYZNTEhTLZb/hIFyUzXKVBqGiGHIQlKzl,38,MANDATORY_READING,Dipl.-Ing.,Sabine,Schneider,Waldweg,1a,58540,Meinerzhagen,Meinerzhagen,sabine.schneider@example.com
Meter Reading (MR) Doc. No.,yYhXyAk/EuxIXmMSugp/FQccF+wTIZgRyjddcWC,A+ssJbNn/BNvdTuERD+ViHEBZkpAkgRiteksNYx,'+QvfHuOTGFNBcTmriUewhqnQUgTKFThYLSKrdHX,EjwYZjJbiZaqQbUXrnSSMGUmbZsxDaoPjQXYVrP,20,MANDATORY_READING,Dr.,Thomas,Schmidt,Kirchweg,2,58840,Plettenberg,Bremcke,thomas.schmidt@example.com
Meter Reading (MR) Doc. No.,yYhXyAk/EuxIXmMSugp/FQccF+wTIZgRyjddcWC,A+ssJbNn/BNvdTuERD+ViHEBZkpAkgRiteksNYx,'+QvfHuOTGFNBcTmriUewhqnQUgTKFThYLSKrdHX,EjwYZjJbiZaqQbUXrnSSMGUmbZsxDaoPjQXYVrP,20,MANDATORY_READING,Dr.,Thomas,Schmidt,Kirchweg,2,58840,Plettenberg,Bremcke,thomas.schmidt@example.com
Meter Reading (MR) Doc. No.,yYhXyAk/EuxIXmMSugp/FQccF+wTIZgRyjddcWC,A+ssJbNn/BNvdTuERD+ViHEBZkpAkgRiteksNYx,'+QvfHuOTGFNBcTmriUewhqnQUgTKFThYLSKrdHX,EjwYZjJbiZaqQbUXrnSSMGUmbZsxDaoPjQXYVrP,20,MANDATORY_READING,Dr.,Thomas,Schmidt,Kirchweg,2,58840,Plettenberg,Bremcke,thomas.schmidt@example.com
Meter Reading (MR) Doc. No.,yYhXyAk/EuxIXmMSugp/FQccF+wTIZgRyjddcWC,A+ssJbNn/BNvdTuERD+ViHEBZkpAkgRiteksNYx,'+QvfHuOTGFNBcTmriUewhqnQUgTKFThYLSKrdHX,EjwYZjJbiZaqQbUXrnSSMGUmbZsxDaoPjQXYVrP,20,MANDATORY_READING,Dr.,Thomas,Schmidt,Kirchweg,2,58840,Plettenberg,Bremcke,thomas.schmidt@example.com
Meter Reading (MR) Doc. No.,YZQswVedOsSG+xVEKhvVJ/SzQdOsssKNnVUXWWZ,YZb+sltKXAcjhfPITxbrfQEJRJLnuOY/UQFASXr,'+uAJubCcO+ThmCLkuadWzjNyKzTwzAx+WZwGXss,tXWThQ+Uu+gKrwgqkkTIrOJwCTTePFUgXXjLneu,40,MANDATORY_READING,Frau,Maria,Weber,Kirchweg,25,58099,Hagen,Boele,maria.weber@example.com
Meter Reading (MR) Doc. No.,YZQswVedOsSG+xVEKhvVJ/SzQdOsssKNnVUXWWZ,YZb+sltKXAcjhfPITxbrfQEJRJLnuOY/UQFASXr,'+uAJubCcO+ThmCLkuadWzjNyKzTwzAx+WZwGXss,tXWThQ+Uu+gKrwgqkkTIrOJwCTTePFUgXXjLneu,40,MANDATORY_READING,Frau,Maria,Weber,Kirchweg,25,58099,Hagen,Boele,maria.weber@example.com
Meter Reading (MR) Doc. No.,YZQswVedOsSG+xVEKhvVJ/SzQdOsssKNnVUXWWZ,YZb+sltKXAcjhfPITxbrfQEJRJLnuOY/UQFASXr,'+uAJubCcO+ThmCLkuadWzjNyKzTwzAx+WZwGXss,tXWThQ+Uu+gKrwgqkkTIrOJwCTTePFUgXXjLneu,40,MANDATORY_READING,Frau,Maria,Weber,Kirchweg,25,58099,Hagen,Boele,maria.weber@example.com
Meter Reading (MR) Doc. No.,YZQswVedOsSG+xVEKhvVJ/SzQdOsssKNnVUXWWZ,YZb+sltKXAcjhfPITxbrfQEJRJLnuOY/UQFASXr,'+uAJubCcO+ThmCLkuadWzjNyKzTwzAx+WZwGXss,tXWThQ+Uu+gKrwgqkkTIrOJwCTTePFUgXXjLneu,40,MANDATORY_READING,Frau,Maria,Weber,Kirchweg,25,58099,Hagen,Boele,maria.weber@example.com
Meter Reading (MR) Doc. No.,VnTZWuScxpUTRRYMUVVroeLACTSMnnqnHjsYdBH,QDXTVWFFnlINWyVv/VGPWaApXlqZuuwQlWBuQUQ,TfMbQVykR/WRSAVsXTXXyc+brQEtkRVJn+ZSmVR,dvUrYRbxtCHNjycTHxoxtNgjUJvSUYYhcwtVAsd,45,MANDATORY_READING,Herr,Petra,Hoffmann,Dorfstraße,42,58540,Meinerzhagen,Meinerzhagen,petra.hoffmann@example.com
Meter Reading (MR) Doc. No.,VnTZWuScxpUTRRYMUVVroeLACTSMnnqnHjsYdBH,QDXTVWFFnlINWyVv/VGPWaApXlqZuuwQlWBuQUQ,TfMbQVykR/WRSAVsXTXXyc+brQEtkRVJn+ZSmVR,dvUrYRbxtCHNjycTHxoxtNgjUJvSUYYhcwtVAsd,45,MANDATORY_READING,Herr,Petra,Hoffmann,Dorfstraße,42,58540,Meinerzhagen,Meinerzhagen,petra.hoffmann@example.com
Meter Reading (MR) Doc. No.,VnTZWuScxpUTRRYMUVVroeLACTSMnnqnHjsYdBH,QDXTVWFFnlINWyVv/VGPWaApXlqZuuwQlWBuQUQ,TfMbQVykR/WRSAVsXTXXyc+brQEtkRVJn+ZSmVR,dvUrYRbxtCHNjycTHxoxtNgjUJvSUYYhcwtVAsd,45,MANDATORY_READING,Herr,Petra,Hoffmann,Dorfstraße,42,58540,Meinerzhagen,Meinerzhagen,petra.hoffmann@example.com
Meter Reading (MR) Doc. No.,VnTZWuScxpUTRRYMUVVroeLACTSMnnqnHjsYdBH,QDXTVWFFnlINWyVv/VGPWaApXlqZuuwQlWBuQUQ,TfMbQVykR/WRSAVsXTXXyc+brQEtkRVJn+ZSmVR,dvUrYRbxtCHNjycTHxoxtNgjUJvSUYYhcwtVAsd,45,MANDATORY_READING,Herr,Petra,Hoffmann,Dorfstraße,42,58540,Meinerzhagen,Meinerzhagen,petra.hoffmann@example.com
Meter Reading (MR) Doc. No.,IvTVEUWYWWhZu+HBbAWWSprytJskjuETQSZXMyJ,TYqVwBLBZfSCvTrYJurtZSuDtVEjWVNFcqteHwY,EHRjIdzBqROXYrScDbRsKDLBsyIQjWUGYaiZjVU,v+gBHTeiFwenSaZKNTSMXTWXEJZuWhXUeUWxTaP,4,MANDATORY_READING,Dr.,Hans,Schmidt,Hauptstraße,1a,58540,Meinerzhagen,Meinerzhagen,hans.schmidt@example.com
Meter Reading (MR) Doc. No.,IvTVEUWYWWhZu+HBbAWWSprytJskjuETQSZXMyJ,TYqVwBLBZfSCvTrYJurtZSuDtVEjWVNFcqteHwY,EHRjIdzBqROXYrScDbRsKDLBsyIQjWUGYaiZjVU,v+gBHTeiFwenSaZKNTSMXTWXEJZuWhXUeUWxTaP,4,MANDATORY_READING,Dr.,Hans,Schmidt,Hauptstraße,1a,58540,Meinerzhagen,Meinerzhagen,hans.schmidt@example.com
Meter Reading (MR) Doc. No.,IvTVEUWYWWhZu+HBbAWWSprytJskjuETQSZXMyJ,TYqVwBLBZfSCvTrYJurtZSuDtVEjWVNFcqteHwY,EHRjIdzBqROXYrScDbRsKDLBsyIQjWUGYaiZjVU,v+gBHTeiFwenSaZKNTSMXTWXEJZuWhXUeUWxTaP,4,MANDATORY_READING,Dr.,Hans,Schmidt,Hauptstraße,1a,58540,Meinerzhagen,Meinerzhagen,hans.schmidt@example.com
Meter Reading (MR) Doc. No.,IvTVEUWYWWhZu+HBbAWWSprytJskjuETQSZXMyJ,TYqVwBLBZfSCvTrYJurtZSuDtVEjWVNFcqteHwY,EHRjIdzBqROXYrScDbRsKDLBsyIQjWUGYaiZjVU,v+gBHTeiFwenSaZKNTSMXTWXEJZuWhXUeUWxTaP,4,MANDATORY_READING,Dr.,Hans,Schmidt,Hauptstraße,1a,58540,Meinerzhagen,Meinerzhagen,hans.schmidt@example.com
Meter Reading (MR) Doc. No.,aUvJkuGfkgdQE/CWxvxnk/JjsUQTnpZY/FkHJkJ,/RhFZKYDsRJgAEWEnTeHFUYNcNYeEtgx+dXR+CR,/WUQZgEWzuACSl+YtrxTXtxCwsOGbhEPVtZiC/L,SeM+oWdjhHSkaUcRtConCPYLsSsLQprR+mMhuUR,2,MANDATORY_READING,Dipl.-Ing.,Sabine,Schneider,Kirchweg,5,58553,Halver,Buschhausen,sabine.schneider@example.com
Meter Reading (MR) Doc. No.,aUvJkuGfkgdQE/CWxvxnk/JjsUQTnpZY/FkHJkJ,/RhFZKYDsRJgAEWEnTeHFUYNcNYeEtgx+dXR+CR,/WUQZgEWzuACSl+YtrxTXtxCwsOGbhEPVtZiC/L,SeM+oWdjhHSkaUcRtConCPYLsSsLQprR+mMhuUR,2,MANDATORY_READING,Dipl.-Ing.,Sabine,Schneider,Kirchweg,5,58553,Halver,Buschhausen,sabine.schneider@example.com
Meter Reading (MR) Doc. No.,aUvJkuGfkgdQE/CWxvxnk/JjsUQTnpZY/FkHJkJ,/RhFZKYDsRJgAEWEnTeHFUYNcNYeEtgx+dXR+CR,/WUQZgEWzuACSl+YtrxTXtxCwsOGbhEPVtZiC/L,SeM+oWdjhHSkaUcRtConCPYLsSsLQprR+mMhuUR,2,MANDATORY_READING,Dipl.-Ing.,Sabine,Schneider,Kirchweg,5,58553,Halver,Buschhausen,sabine.schneider@example.com
Meter Reading (MR) Doc. No.,aUvJkuGfkgdQE/CWxvxnk/JjsUQTnpZY/FkHJkJ,/RhFZKYDsRJgAEWEnTeHFUYNcNYeEtgx+dXR+CR,/WUQZgEWzuACSl+YtrxTXtxCwsOGbhEPVtZiC/L,SeM+oWdjhHSkaUcRtConCPYLsSsLQprR+mMhuUR,2,MANDATORY_READING,Dipl.-Ing.,Sabine,Schneider,Kirchweg,5,58553,Halver,Buschhausen,sabine.schneider@example.com
Meter Reading (MR) Doc. No.,PCoWTSHxY/TpBcdgteSgIWrRP+WiYiluuCrpxPQ,ceklYhtMUVijXXPxwCSKyPJcVBMZBQJSMOdfVqx,uXndOixUkKaAQWgPXRWzUZhOv+NiStEqRmu/QOv,BSgUfnCYxGkHorkcvVQaDZRHzYTQeY/jMzEZRPR,8,MANDATORY_READING,Frau,Klaus,Müller,Bergstraße,25,58540,Meinerzhagen,Meinerzhagen,klaus.müller@example.com
Meter Reading (MR) Doc. No.,PCoWTSHxY/TpBcdgteSgIWrRP+WiYiluuCrpxPQ,ceklYhtMUVijXXPxwCSKyPJcVBMZBQJSMOdfVqx,uXndOixUkKaAQWgPXRWzUZhOv+NiStEqRmu/QOv,BSgUfnCYxGkHorkcvVQaDZRHzYTQeY/jMzEZRPR,8,MANDATORY_READING,Frau,Klaus,Müller,Bergstraße,25,58540,Meinerzhagen,Meinerzhagen,klaus.müller@example.com
Meter Reading (MR) Doc. No.,PCoWTSHxY/TpBcdgteSgIWrRP+WiYiluuCrpxPQ,ceklYhtMUVijXXPxwCSKyPJcVBMZBQJSMOdfVqx,uXndOixUkKaAQWgPXRWzUZhOv+NiStEqRmu/QOv,BSgUfnCYxGkHorkcvVQaDZRHzYTQeY/jMzEZRPR,8,MANDATORY_READING,Frau,Klaus,Müller,Bergstraße,25,58540,Meinerzhagen,Meinerzhagen,klaus.müller@example.com
Meter Reading (MR) Doc. No.,PCoWTSHxY/TpBcdgteSgIWrRP+WiYiluuCrpxPQ,ceklYhtMUVijXXPxwCSKyPJcVBMZBQJSMOdfVqx,uXndOixUkKaAQWgPXRWzUZhOv+NiStEqRmu/QOv,BSgUfnCYxGkHorkcvVQaDZRHzYTQeY/jMzEZRPR,8,MANDATORY_READING,Frau,Klaus,Müller,Bergstraße,25,58540,Meinerzhagen,Meinerzhagen,klaus.müller@example.com
