"""Meter Reading (MR) Doc. No.""",HAUS,ANLAGE,ME_MA_ID,EQUNR,HOUSE_NUM1,ENTSCHEIDUNG,TITLE,FORENAME,SURNAME,STREET,STREETNO,POSTCODE1,CITY1,CITY2,EMAIL
MWGqWWCYQodWZVKRWKwYsZWzJacDwgpLtiDSTLD,XfQvSZDfiLUrXYnvqKX/ZhVSWSWlDxXim/mlQoA,LQCvWUzUCDFSxVcOIAKUURONJXXkaQMVPfjTRFY,frlXWpaaoAtXTSXzLURzxyQYnQvzbYDLrzZkgFP,n+TYCPAsXHTfbBmWsKRZsXYyYyGXYSZuZNjZNUz,26,EVU,Herr,Hans,Fischer,Marktplatz,1,58809,Neuenrade,Neuenrade,hans.fischer@example.com
OfmuRagGiYqFYyMOBUVyJoAXKRfYSVPEHmhDjoR,uUIsJWRCRbhUXjxJVC+zldWFkBJkNTOSMwLNQQK,WVMUUOSFZWh/EuZZCJKgKptWWIG/XiBQNhrfLiZ,jTA+dsQFGvSNM/kCUdukqEZVbgNUeGkTWwgTQQW,fUERRYQv+FBqMyZMeegdQVKIDCAz+T+WXrgiBfS,12,EVU,Prof.,Michael,Schneider,Bergstraße,20,58809,Neuenrade,Neuenrade,michael.schneider@example.com
WUokVTora/QUPJUADTBrWRkIOvxemwbjHWSQWdZ,e+pwcXW+mqvBFYUhxlXKZXpQWqlRUJvmSQPiYHl,IRCTSyYPSpMRVjmQblnxCxawAwZHCrIpixlzosD,OYWOXkpfNiKSVYVknkZKhKVGFon/QPOdaWyGwbw,TATABQojSpRzAugKTZJoeRE/VXDmTBAzeU/FvmU,82,KSA,Dipl.-Ing.,Anna,Schneider,Bergstraße,1,58762,Altena,Altena,anna.schneider@example.com
DIFRpWFBQnKvXVdrXBQiuiWkCodXZYTWweCPhZH,Jm/BlnNcUxVSILVcW+mWLsWqQWxQW+GwUqBxUXG,SMnlAnYWgNcSXbcMTkzuSxARhjsZVIibaAXYjFj,VDBjYrtUYUbjTQrkzTQAhKHbGWkIVRHfXIGzqWY,TDZNZlMbFPdFNJZFXXtMuDLqUSYiabHbqHoqDVa,32,EVU,Herr,Peter,Schulz,Bergstraße,1,58809,Neuenrade,Neuenrade,peter.schulz@example.com
gcvUkgYFVYtaWADWz/DnWXVgZcNnCdlcKg/UsMt,GUtWTEedqsfQRjVrQWGDOtWBhsjMkgUyFWFQygF,WQZmpikQEZpcsfglNGUSrZyETyWCfnszEZAOiDU,EdEZjvwGHfKwlVOTMXRuStiKFouxPJYMYrmTCFX,nDUaXL/tWk/DpRUT/hBuvtcZZbcIQWkiThxTsqh,11,EVU,Herr,Klaus,Hoffmann,Gartenstraße,20,58762,Altena,Altena,klaus.hoffmann@example.com
fjCfJoWnDJtcfIhjHTUsQzYoGlyUEjBjTYMdQSL,yRWRqfVhmAaLhsTUESRVbVQQEPAVljZfwxQXroT,UaiboXphpnktUXEUtOsZRonRWzHqCfRSVsELzbn,KVUbVTZAjSVlXdYfZLHwaRrgsCHfJGSAPXLIHlt,L+flWvUrBYJCoYFlxTRMfBegjTZVMSXpjLzQeXe,10,EVU,Prof.,Maria,Schulz,Dorfstraße,12c,58809,Neuenrade,Neuenrade,maria.schulz@example.com
RnAtTWlOVcUVZUUND+PjPlQZBsFUJYBPAYITWVs,w/VrZuMVWZjSmjRQhBRkjUqSSCpTkTKmsGQoqfK,/QMYhZLfWQYSCjkqCsULRTQSXcfXYZLtmyRPZYS,hbzpCgkrSJYU+fPN+dhQNRzWTqZjtfChaEQDIEb,YYAbbIXEqZTpXMsvMErZQQciijZUHBD+Ygfsdhs,22,EVU,Dr.,Michael,Fischer,Bahnhofstraße,5,58762,Altena,Altena,michael.fischer@example.com
GDvVlg+defxU+oaurhQUGdowTKBSZWwQ/pnKc/X,kXgWYvVm/c+hcVNMXQ+tCThrrboSflFlOTXAHdZ,/JKc+OfBxXscAQuVBoFYRTQQduNWBQ/mmZWkOSm,jxr/NTJnaCbuYidDiXSlURPcxWWRRMhMxMdDiZB,X+dWBVAsbMQWITpZCxcGTSVlDFRlLTOXJ/aShho,14,EVU,Herr,Michael,Hoffmann,Kirchweg,5,58553,Halver,Halver,michael.hoffmann@example.com
UUuSLqGtHoUvoEWy/JaGkCsSXymdINtDQYfvWtF,uUIsJWRCRbhUXjxJVC+zldWFkBJkNTOSMwLNQQK,Vc+TxfeDQgzhYaTmXuUEIQbCE/tTGMYIruivtyZ,sGbMBfvJmAzUUSeITJJeQeoQqvNdGSghNpPJQbF,lqGRMPk/VsDRQPaRXKSjWZgFcQCqEWwyBNXDvTK,12,EVU,Dipl.-Ing.,Anna,Schmidt,Lindenallee,5,58809,Neuenrade,Neuenrade,anna.schmidt@example.com
ZRUOQzQzwGhkvqekHRmjqJASTDzrpyyiyQq/oWR,xIScBuVjR+KKURfRXRQxaYFdjpXGiNyxfPtnNZQ,K+SxoQsVYNyHQWbTeQNi+mXqiXbKYnvYtz/jekV,WYUXfSXUhSIhGErjMmLLDXkYQAwgNSleTwa+ydZ,kDJFSWpPlEwTNUEoRKOImwBXlmWbTzkzzDZdCDV,8,EVU,Frau,Anna,Müller,Gartenstraße,50,58553,Halver,Halver,anna.müller@example.com
DqjaPRnfqWskkiDZeiZWgUPYWvlsZaYSDSyJuEa,RrVriZWhrTlyYRmUUGrVgutZPfaApEQPfuYuBew,lOYshTgsyYyEgWTZxJfyWTNcbTgoVTMPVsoJYyT,UWxnNYYGBUvQRKeKnppHOwIsc/RboSFZatNJqvm,AhkSkiJQfphaDNEZJfVEAboARAhzKPwdeQBpVTo,38,EVU,Dipl.-Ing.,Thomas,Weber,Kirchweg,15,58809,Neuenrade,Neuenrade,thomas.weber@example.com
dLVHoFYdcWwpNQYfjuTKeYjSRXZlpXADAUMKTmZ,uRiFAqHcJSCXTXQqIZQ+AcQ/HuwVcDeVfFjdqKw,rsFDfpJlSoCADandRWlWnL/RQjapjMyY+UZVDtw,MnQRYi/LFRk/XHYSWYlsJCSHqiZQzLcTGCkbyTq,IxTRLCdUzMlFYVm/CYzbuZXTTcJhXOUzzeQVZYQ,26,EVU,Dr.,Thomas,Schulz,Kirchweg,12c,58809,Neuenrade,Neuenrade,thomas.schulz@example.com
UsDyZLzWLfTplAHReu/HZVPSLUkrXsbbFYPZkcd,lAcPPMjcEEhLjKScwMghlgFNDRIddOstrHROMUU,qlSTfQAj+SNxWnVUuzUXCZwZiprPOoqdywKCcQZ,qULNGAKhqHb/mkrrYYUYoHCAaUWAkwvKuRTrrnk,BUsiRWTrGUIHCsGaPScSToyKQNbIRfjqUZSJYzJ,5,KSA,Herr,Sabine,Schneider,Kirchweg,30,58553,Halver,Halver,sabine.schneider@example.com
yIDSOXAgkIdQeXsKfjOuwXZDSyfXLBC+rfiSDCK,pgsg/GHntTMUKtr+XWt+rfcZMoQlgnSuXZiGniR,cJxWXTVztRbTTQvWarapWwWNYPWxbYW+EAahpOt,LcRFYZGTgQbTTDqaLpdkWUaeDtYWlIBYeTcmIvR,RrJLTVSwarPtXUO/pxacZtQXBuwzdZVwtzYBkBy,11,KSA,Herr,Julia,Schmidt,Gartenstraße,1,58809,Neuenrade,Neuenrade,julia.schmidt@example.com
VtrYlCOXWSpYwWaMRK/EHeqCdjacZEPHCLuLwkj,GgMwZzmWASNJDYCyBwRSAYGtKnECbItYDXgbTlx,SByIpMBkVQAFhjPNvMzwRVQDaILEmAApfAYegbY,iMAlfZbCuwDQpjYkdTCliwYSUTRTRGEmaOKyXDR,nqZAnnq+ZNUwjVoGVboVgMFQUGzsxdzBOtOZouT,14,EVU,Herr,Klaus,Schmidt,Dorfstraße,25,58809,Neuenrade,Neuenrade,klaus.schmidt@example.com
Wd/RXUUGlZQdXMrZQRhYdOcXUcXFKvkGRQIyHIz,ZaUGKsWgfROpxryKVbYBshw/V+zGAEzgjoOwzAC,hGpQ/xcufyChWUZXrSPrToQKQwDLoQdppgXQECA,UWzyQPBkJOMQHZcquBTZqpEMZsLW+JghEFLRViZ,WIrSHvCyshwTTQZLczMWnLOFISlcoDgUW+opbRW,20,EVU,Herr,Petra,Schneider,Lindenallee,15,58809,Neuenrade,Neuenrade,petra.schneider@example.com
vjDZeWVUYlUzRSHxHJTlYToynHsYGAqNQcJhVnx,DkMQpGOMpGaHHMOAZdWZi/RZCcZhbRQKjRMuaiV,UaHWkPfrGSEdWQYOciKuQlbBdtYqXafCYTECYIL,si+N/JGIRfWIvAQkMrQQkOvgQsFVSYQYOdsvzOG,oaGxMAYyveDuFVCzKTqXxbuDGUfrxbMnhJTgXXO,14,EVU,Dr.,Anna,Schneider,Schulstraße,30,58553,Halver,Halver,anna.schneider@example.com
IKxLWeCtBoJ/XQUrQZdLlzKMOVKhGKxiPAX/ohw,ZzCORZTQitTOhXiVWZUrmnaiKRZpUHgUSRhmAyX,BOXpCYKEUbOW+rOZffGDZwpdfzbEehoXxkNkziF,cysBUHWHXIouiaLkRLaD+RQmUgqYSGnzvVshynV,EVWfWLSVhawvwCvnTEIjFuFXrWR/lZfUnLAzsuw,1,EVU,Prof.,Klaus,Schulz,Lindenallee,10,58553,Halver,Halver,klaus.schulz@example.com
KiubGRbfIkeHnHPRTgsHYLEYYnrrGyRl+UWh/vY,WvlbcJiQCQaTOOkQWPNL+XYhCrWLeVJMUVWSaUo,TTMmdqRHJEqPskVpITDiVYqQAERcVThUKkvaVjV,/yDOdrQhEtOoguYQavdaakgvRMsXBHrSiVSQZQF,hDFgAZQWnDTQGUVfZ/XpeHfKHFeySrfZiwkgKGY,60,KSA,Prof.,Julia,Wagner,Hauptstraße,1a,58553,Halver,Halver,julia.wagner@example.com
XOrDNShELOPP+HhVBTLHMtSGMaYipJSwWpdAihZ,XfQvSZDfiLUrXYnvqKX/ZhVSWSWlDxXim/mlQoA,wpFFu/+elULMRZuX/TostPuQnlUMvEFREwISUip,IhJuJVRDOTXTPipcJRoJXYjESYRkNlHqIuX/VBp,pdwgliKAZlqtOS/zSysDOBVnsR+nRYnmSNNXRRj,26,EVU,Dr.,Sabine,Schulz,Dorfstraße,2,58809,Neuenrade,Neuenrade,sabine.schulz@example.com
FyGWMZeXXFcJPenTskuDTcOVZW/JLbkqXTUmPbM,oIzmOLzlpAFUObXFFWSnaFeXzr+SFpNgZMzbiir,ffp+KWqzksNDTnzEmTJdGsXYtuzVM+vgTYFiMVH,DWizMoT+YPrUgpKmsTXCouNfhrLsLdIXwBYweTz,SnRZYnTlIZVZ+UxYLQXWKZXSWMZaohbWlQSZANn,17,EVU,Herr,Petra,Schneider,Hauptstraße,20,58809,Neuenrade,Neuenrade,petra.schneider@example.com
WkpVSlOZwRpRSQHnMBEHeYbMjLZZBaSiebg+hwe,dNTOWXWiudORNEZBZqjQfTvebIpkrWKRTBqwRYl,lwkSLQVKmbSxwhqWYQAGlUyVvSjrEPHtstTykpV,NyWXtyWPgURoc/r/qWXSAFKOEL+X/rSZZeOnmWD,MMDZNSdymhDyWzOdruxWVQzMoJnUkoRUkRYRQUe,15,KSA,Frau,Hans,Schulz,Lindenallee,3b,58762,Altena,Altena,hans.schulz@example.com
asTUtLXCqSFuogwMpHsTrgKQAMZeMRXvP/APEQF,ibzlTMCeO+yElTDFmn+zsUE/TmaFTkSrSxZNULY,uC/hVOrqcMiVjgzFKYtVBXWeagFokSjgGVmWGBV,cyyZIvL/gRrVsryDTBhhvYXqIfNLAkDGyeIVRQr,aGuQXfQyRSODFFQqRiZKjemgziVQOUOmxWSTe/D,7,EVU,Dr.,Sabine,Wagner,Kirchweg,1a,58762,Altena,Altena,sabine.wagner@example.com
cYcFlBULQmVZvvnWyGwMFZXyfnDlAcuXTCksSYW,kQxcbnuUc+CqGWokXzIS+Qq/zLUZtSrVqIICswV,'+eQfvyEUtNSrTmRCmcHEKmY/ouSQDzosFZqiVXO,VDOcQKaoawMJWujOiYSUvBLjwZMwWn+HINqf+Xt,ZVlctvUXBWyXMeWNLXd+niCKotlDjByZ+dCUdPS,3,KSA,Herr,Thomas,Schmidt,Hauptstraße,1,58809,Neuenrade,Neuenrade,thomas.schmidt@example.com
PUNL/PKYp+ynZLDhrRBrkKXtSuhZcwpNGWjQYLP,X+jGcYGSrfsAofxUfcMPXKILnECVAjYONVzWNub,kqDgyVtnKjuLaqkXNRTaTXNnpiKthauTZwdaVWV,odcqTFlUswGtbqtUtVpYWDWYXYuJUEpiK/VVOYn,XBuXYdJBEMMWGkVztFUVRMGPqEHNtyNtKbGUswc,28,EVU,Dipl.-Ing.,Michael,Müller,Waldweg,1,58809,Neuenrade,Neuenrade,michael.müller@example.com
CtGPFzdSQZSuZlVhdvclSbWNbSJPVoadJUYfYUr,gfAWSZLXOpjCCXipxlAKRwEpJjcxGF/OhcMloCQ,VVSYdzeT+CSqxRtXSAaGEdlKlzJBEHnUUNfUjoS,eGiazGYAAZWuNzLQPnYOkPDclAnQmYZYvRrZbIU,lSzgVnYIY/YDZ/AlZYHUVhZRqCSM/We/FGpnSYj,18,EVU,Dr.,Sabine,Schulz,Dorfstraße,2,58809,Neuenrade,Neuenrade,sabine.schulz@example.com
BXCTwjQrPVWXQSj+JliglcOWlYFWFhhUDWdYATV,mgQSuDTWgBojEf+SQmnhtkVYYWgcbaKSRVQScXA,TWfciYDmonVSLRhMDwHdUlCixxRqVqUf/UMgzVl,zFesPkeZixJkcXCSoWhRRiiKhDbfwReEdRb+mRT,LsNWkmYajxIYI//gGvCFvcuMaBdwWVaSBbwMYev,6,EVU,Dr.,Hans,Meyer,Bahnhofstraße,42,58553,Halver,Halver,hans.meyer@example.com
PrlWpjSTHENTcSKkQMQGJMvvMlhuAzVdr+AWloL,QofYqBSDPTYqgNvxSrL/ToiTYmWiiLY+SgDftRh,JkXcyqVSwlKZFrVTVAuLbVVJcbsZ+QkNLW+jZnc,v/gkSVmsDMYfuMagYzJAFZcsbRoai/WldFRI+SQ,OElYRjLnZLkCnqzZMRJWvUSPXSQXCsJpJFGTSPN,43,EVU,Dr.,Maria,Weber,Kirchweg,2,58762,Altena,Altena,maria.weber@example.com
TBZcOMCTRqcSQnsbUdfPORRgS/ohoyeSxWRDtK/,jzjYDSJaeHAfRLYKTsYRbTMjnWRcNiOy+kXISuY,UqpRSU/svpAtZWhQ/IzanVUNczz+AMzDrLaqMcJ,BiTwuvcQuTVcYyc+qVDiDVtpXRKbGMpYMa+irvB,UBhTWX+USQCvyIMhxPSAVydhzoedQrYarqtHyun,2,EVU,Frau,Thomas,Weber,Gartenstraße,5,58553,Halver,Halver,thomas.weber@example.com
sgafgpNEVOsLLOaSTkfMQgqVmxh/mvJHESiJbvS,X+jGcYGSrfsAofxUfcMPXKILnECVAjYONVzWNub,GqQCYSRRYCIy+TTGnpzTUSkQaTUTI+GVUSfmr+X,advfUwULHPpqjcp+hbsXBnNxkHZyByPawTAcjft,vlRvowYmhnRsJAsTaaRDXNYwYRV/RQTLUCGtFcn,28,EVU,Dr.,Klaus,Wagner,Lindenallee,1a,58809,Neuenrade,Neuenrade,klaus.wagner@example.com
uXLC+siYTb+epJkJlCQfQDgFPqoXiaiwbofcTI/,ykFUywnW+YzaEXVXetviXHEIZUuOoW+QeTRYzHG,fYbaweXgIYF+PwX/TMSQSfaQrwygeXWUdXkdQEG,TBPsTxnfrxYjEqZdTBAsirJuaTiRidkWkwqpURR,mLfrQ/YLTexShvqUa+Zs+RDUWRlxkRQRGiFXjSo,3,EVU,Herr,Maria,Schulz,Marktplatz,20,58809,Neuenrade,Neuenrade,maria.schulz@example.com
FRZqWVbVxcQVvBjuYmQyLAvFqTzbSiZSXISuGGV,mbNZQOZFbZdyLpCtEz/UblFTwHGlcjFEUxoDWoC,dzNBfNWFP+EQbBcRTQtdwnQYQCDQdUvuQFnvUjy,QHHSFDYLoBWwGYqaiTZuOvDUAsUjRCWhoWlWMGd,GxzIfSLeACIUpOzZHvnFKXYNFhADPhQQlTxKSyX,4,EVU,Herr,Peter,Schmidt,Dorfstraße,1a,58809,Neuenrade,Neuenrade,peter.schmidt@example.com
MJDryXOWthgrVRAjRSOVMWMmXoYUsxjWJRBtTPT,crUOtQGdBEnzhVYtkXRvWok/vUYw/NdQcvXkBZT,QZQJRHpmbQWRXTRQalQgMPU+od/fES+TibRiBOE,WYYXwMoxJhJoUyWlzcV+nUXIUJkrRiWKCsnUBcd,YhPSVXxjZDemYDNXgQZQxZmBSHBTCnfXoYKfYvS,8,EVU,Dr.,Julia,Schneider,Waldweg,12c,58553,Halver,Halver,julia.schneider@example.com
eeCLRjIzpJZCiU/MSuxxQYeTaPTUvBfQhlfWvRq,RrVriZWhrTlyYRmUUGrVgutZPfaApEQPfuYuBew,ZVAb/gGzrkBXSRVWsaRYun+RDVqnEvtJaPCFCEM,QikSwDbVQrIrJ/MFTAXVDpNNWbbvL/iXnyoIc+O,bCopTwStLnEFVSVbzGO/RpQVcAfrUQnxVWUHSDS,38,EVU,Herr,Sabine,Schulz,Waldweg,42,58809,Neuenrade,Neuenrade,sabine.schulz@example.com
OUiWDeqfNIrewbThPWTXYrsawlMvSwjyNOPPLbs,gfAWSZLXOpjCCXipxlAKRwEpJjcxGF/OhcMloCQ,SvAMucRLiteoKUDxGFsKDUvYCaxSQUSCiTEXocd,VDRMTVtXBkTSnkSheSPhvnCSGfVzNNluQbpYrWV,YmPVBIgKsTxOcdTjXZUzJMpebHOUOaXnbuXjOcT,18,EVU,Dr.,Hans,Fischer,Bergstraße,15,58809,Neuenrade,Neuenrade,hans.fischer@example.com
WJiEntscppTDrMRedWYxclWsOeFQVGRbjZpUXgp,XFWivPqGRjLRwXKGQtlQCZGBSHkpAfwKgReizhg,ZNZeMYaAbRqmyGxFOgVeWOYPZiQKjlGhG+JQY+r,dYqdlVhTlESg+ckW+xidYwWVQivUWkVGVgSE/bf,YZYXZwZDaKZChTZtQbrZlBszZwTLalQVhtLUMoW,74,KSA,Dipl.-Ing.,Peter,Weber,Gartenstraße,1a,58553,Halver,Halver,peter.weber@example.com
YxrZltmNuZRHIwyhnhzcleS+tjryQReZjSWKf/q,dPliRgyzlxgX/rWQKxZYrAhsbnhQMaVHKRZfUNQ,heCfbhBCFXOKSDnzOTtGYVRhYojZDqoXmYxtZSi,KVdaaXtxiWTHkRyoRCgGSZeJVWRwxLpWLYCSsYC,MXaQQHyhRTvmqESEeHregUyPCQHJgCSYAHGULoR,66,KSA,Prof.,Michael,Meyer,Kirchweg,50,58809,Neuenrade,Neuenrade,michael.meyer@example.com
uOWPgSYoYvdAGunJxchACBJbKPHHYVJVYzPztmC,UlWBRFESTWGRPLSZWVnCMMEAYcFRRYUwEnkPYoC,aiSlXGNkVvRHQOWKjSFqrXsTVmZzCrWqgVkSoZ/,QV+qzBNwQZMbJVJRnvyEQYIFgwdniFGXkFA+MPX,hiUGpiQJZxUFiRwyFynpQAXLMCqjEAvAYYnYm/I,6,EVU,Dr.,Julia,Schneider,Gartenstraße,25,58553,Halver,Halver,julia.schneider@example.com
eNVFMdoCjkTy+ylxfjbSkFJZxbGsUPqLv/RK/R+,DiBVXfNUjSMWMxkBrESZpgITMKIUZTUYgSGPbjP,YkTuInlSHfRCLIzzUr/uiaALXqWqPnaLQe+RDcs,JQVPor+nStVbOMiXSYQauiwzCYrTSttCKsmdyrl,uQGgzwVWo/VpuvYEdxgSGDmOYHqJhQLRgjppQtu,5,EVU,Prof.,Thomas,Becker,Lindenallee,30,58809,Neuenrade,Neuenrade,thomas.becker@example.com
d+QUKZbSbqIWYVWQQxAfHHqZeYGQivxRcUfKBXZ,klifRJyQj+ZHEdAqHqhNqAMQ/EadLNKdsMSrJTQ,BrWGOWRkCX+ZqMxYnb/TwakoaUDTvhDCXUrxLip,jTSiMkwCW+VfgVfwUCiLRMKPQGKxSneZyfgvptT,MvXqFnekHDrzERBNGWSiisiJ/NUOtzAEbQsSXZQ,13,KSA,Dipl.-Ing.,Petra,Schneider,Lindenallee,10,58553,Halver,Halver,petra.schneider@example.com
ZURQ+nY/kQXXQtnXGMrojYsgQLC/CdCMgraULGz,RU/qXZhQjMRftxaRjBrCRYfJUhallRwVIpRhS+r,nCzQgDcySTWFrqYIuOsZvPRWvQS/DTiFw+hvPkC,NTquJqTyXBM/aSqxnd+/gdVtUs/ASmjHTCAmZWG,KItTuuzobdkXUJYnVYpfxKMbGRbUJQLYwJvSZeV,67,KSA,Dr.,Michael,Schmidt,Kirchweg,5,58809,Neuenrade,Neuenrade,michael.schmidt@example.com
ewkgYaQlcvmHleFYFRZXWFZTgIRegDeVlpoWYNv,kgVApStwUKZ/axZiBlLTLcGxOSCRUDrWRvkYRGN,LZQBiQCuodlNFMcAsiTq/PpbVZRUQoidXpqvBYL,QHNvMZwoUkpPggg//uZtWNhHSRQaODQNyXfzFwM,esDXCLUEnsRyuyPDxMGgGUuidlWu/qikSfWEZaU,63,EVU,Prof.,Sabine,Müller,Schulstraße,25,58762,Altena,Altena,sabine.müller@example.com
tNCjWZEjXGwKxip+RKWqWsAQDXQfKisYXbWNNkE,GUtWTEedqsfQRjVrQWGDOtWBhsjMkgUyFWFQygF,MqpNxRT/GvhrAiLWBXkQlQYLeowStoBgSQdsJHt,TBRlAhoTRMZQKQoJhxHcAWJEoxyTqkHtStfwmXB,XZsVnlYKUCIWRvYqNQcrZOTWmShnFdWheaVileY,11,EVU,Dr.,Maria,Müller,Waldweg,20,58762,Altena,Altena,maria.müller@example.com
wChjqkCLUIRaR/sqAzopnTzVMUwHgZYFbclACmQ,ir+TUPX/+SPlLYAVwHIfopfyKffyXZDkRYwiDJJ,FkOpVRhXXnixjCWFgjxV+RQUVZiY+FgVkOf+AQz,XzerGZOtEVlktDKjSQqDarvfLIpKlFABebokjDA,GytKuTSCODQCpRjQfvLZfZqCGMVvRSQkiRPWKJP,8,KSA,Herr,Michael,Fischer,Bahnhofstraße,1,58553,Halver,Halver,michael.fischer@example.com
jBoDQbllPwOfuGQcVUSURuisWIGDWucVLWqQR+U,oIzmOLzlpAFUObXFFWSnaFeXzr+SFpNgZMzbiir,KQ/+nEZHKWXQrKZRSUrNtYalkuAMAifDWRpiU+S,czKnSUZOYzRJVVxkQNzlqvDRHlFcCWTjwXRpuSo,ZQRkTQSNzhZuNQWvtKPzxtgEzpyuUTRvokGTUjB,17,EVU,Herr,Sabine,Weber,Kirchweg,15,58809,Neuenrade,Neuenrade,sabine.weber@example.com
mOOQSKMWWaVmXyWoQffbaisFLbeFscBDpuTEZiw,SLry/URVqGYKQqItAYBsVXaLQMXTAsE/WQKlmTP,xXYHNQSYmyWYabDQTOmYCqXGXgd/LYzgjWSXQZD,HYhDjAjjyPZoEMYxNUeeRotlVVSU/qbzYUtuQap,JlRpXgPryumshYliBZBnmWlYMSzNoUHMoCTRauB,9,KSA,Dipl.-Ing.,Thomas,Meyer,Bahnhofstraße,25,58553,Halver,Halver,thomas.meyer@example.com
oSwKFpCCfORtKzloTCmJGS+gQWBXCHVtjTWtUHM,BYrUTcppylSxUoibBhROvwURdQZgbsQVRsVMRHp,WFXlYdScnBUTYbZfxPYNNvnQyZXOVZAukpAubV+,xSVQgUUVfqQjotdpppwADjVS/jVJjIkkeaSvOSS,uTVMSZJY/XIFWMgrUQDaFTS+QyWsiWvXIUQzQBI,33,EVU,Herr,Peter,Müller,Bahnhofstraße,10,58553,Halver,Halver,peter.müller@example.com
PhTkkCBTLmxxMRoHUVHRTUXBnTkAwMBVDyXyvWL,Y/jOcdVGDSZwmFmWyeompXtBIBNBgX+YqdXmOoL,CwvUQlgjfSUWgxaGnTbCzRQINaXgSYo/RcSibTR,XUYOROI+PjyITZvXvkRNVbX+heFhQUgNXsrwbob,/iSnyXNVPnHaNgPSNgKLTeYKHGBdQRSJyDtlgCJ,55,KSA,Herr,Sabine,Hoffmann,Gartenstraße,25,58809,Neuenrade,Neuenrade,sabine.hoffmann@example.com
zgduzsRYVDERYCeXGaejqrrXfWc+v/GMYluipyy,yRWRqfVhmAaLhsTUESRVbVQQEPAVljZfwxQXroT,VFNAZqKHqjYURDUVVZZBeixgkIpMyRZUMWbQfCX,IhYFiZkiSTHVmPCnBZvYXotTXdUKBKLACorMxfd,ULkRraUXAQHopzmtYUTUmRvxdSoaqZg/KpUVqfQ,10,EVU,Herr,Peter,Schulz,Bahnhofstraße,1a,58809,Neuenrade,Neuenrade,peter.schulz@example.com
GguCJVwhxvUTIPeyYBmqYzrTiFxnUJNzyNhYU+R,JnpaDEsO/dmsWamLpUVMGWAGkXCeyZUKmLjpDMq,kBlmiEX/UWGJMvPjlZUw/pgytadOAoW/ZAHhLZU,/yWFMiqfrnaP/UuYSgUYamJaRvkZOwCUVhMZPRr,i/KwfTlaQfJvFYLXTVQlTWJtTqoQQBNMrYnYasn,1,KSA,Herr,Klaus,Schneider,Kirchweg,42,58553,Halver,Halver,klaus.schneider@example.com
xSWSVCWoBLqYdyDMbUeeRJykRKKhkSONTaoiewY,DUaYNQBZSunIIHLJnYGjII++/KBGuNy+/nI/ICz,wvFUQiSTQltCnlbMYJWiBBjxtlRgEQnSAfNHdSb,FoQbxNEQZQTOHXZXoaYKOnAEXVKrSlzBntKYplG,ZKStVtrsFvtdZd/NZWXdwoQDXXJAkBAlaOwIXHP,29,KSA,Prof.,Klaus,Hoffmann,Dorfstraße,12c,58809,Neuenrade,Neuenrade,klaus.hoffmann@example.com
wTTtObqoCezZBLTVhgfUOYTv/zWARpOZfTPWdTU,pUtzgWtMTEkfjdUdsWjoVCcohdYHGZLXXTTCWwI,jekhKxYopJXBVMqkiWvXRgRdSSAzrqseDXavAYN,liZoLQlPCJ+/+KFvCKFh/VRMZOuCutNBPqlQMue,gbyfs/TDXfYKVnX/rUTZUTuPdEEWOecDQqb/Y+M,13,KSA,Prof.,Julia,Schneider,Gartenstraße,30,58762,Altena,Altena,julia.schneider@example.com
FXSYGpbwXjaUZLqwXIVGRGuZplSKNWNlqLRdZQx,mbNZQOZFbZdyLpCtEz/UblFTwHGlcjFEUxoDWoC,WXpXGQsQrWSUUFlgUuWUONJIRJZEyyuUUWWQAWu,qUWHZGCmeCIilHiEAYaTekHtSEays+WpMqaDSuR,QwZkDj+XipueuBKTISqeRWXumDyySGyCYngiZc+,4,EVU,Dipl.-Ing.,Peter,Fischer,Bergstraße,10,58809,Neuenrade,Neuenrade,peter.fischer@example.com
qQUVIUrLKbYaOYUGJUTUTwZymXoiCgsyDSETllS,gSWzOVJlhULoUjuHaNxVXWxXBMQQaWyzbEFquxj,acMKbmIYgdiqzuUdohXTuX+RNKFTTwSWUdHUWuz,EdyndWopKFkZodvsa/BeLLpWGawWTfAjeGuXAug,z/UOpSamUHLHzSbpMzHN/ogqNGj/ZcoNzWSulwa,6,EVU,Frau,Thomas,Müller,Dorfstraße,3b,58809,Neuenrade,Neuenrade,thomas.müller@example.com
Riz+PVImouGTRW/hisnfrVOLzJzJDuRUzfSYVRo,SWmZPRmoFZTjlkRKhQpSSH+vLqkIlQWaXCSerVe,chulQFMpYrasCWSvDVRRSXVfL/prihh/h+L/Zgb,ZI+ZfVOotGlXArZrlPnrYUPSxwlaCRJBQcXLZwA,ZXXaUMFHUFOoYTboALUcjgMwyUykBSKITdNSDYK,1,KSA,Prof.,Julia,Fischer,Bahnhofstraße,42,58553,Halver,Halver,julia.fischer@example.com
PQBiRGITLWJUfDvHsblLLsdZTC/uRuzrB+iQxZq,ZI+gSTVdDZZdpXIvVPVTrLxxXQZLrDTjQW+Tyum,NVzcSVxYdIWjpTtVbzJpQDDakuUPeIovcTUKggA,IGgkUPCiYVjVAQCUgpUqUzNHvZKRR++hzkqRDXd,OvYhvTSYNQyEcX+EjXKtywCjRyVHAnhPFPW/XU+,58,KSA,Frau,Michael,Wagner,Bahnhofstraße,10,58762,Altena,Altena,michael.wagner@example.com
